,# Days with AQI ,# Days Good,# Days Moderate,# Days Unhealthy for Sensitive Groups,# Days Unhealthy,# Days Very Unhealthy,# days Hazerdous,AQI Max,AQI 90th %ile,AQI Median,# Days CO,# Days NO2,# Days 03,# Days PM2.5,# Days PM10,17
,184,169,15,0,0,0,0,84,50,39,0,0,184,0,0,0
,242,146,94,2,0,0,0,126,64,46,0,0,85,157,0,0
,275,98,163,13,1,0,0,161,88,56,1,2,115,157,0,0
,274,142,131,1,0,0,0,105,67,49.5,0,0,96,178,0,0
,244,197,47,0,0,0,0,84,56,39,0,0,92,152,0,0
,274,125,146,3,0,0,0,126,70,52,0,0,85,189,0,0
,244,130,107,7,0,0,0,127,67,49,0,0,49,195,0,0
,198,161,37,0,0,0,0,77,58,41,0,0,179,19,0,0
,243,155,87,1,0,0,0,137,60,44,0,0,0,243,0,0
,243,110,133,0,0,0,0,100,69,52,0,0,0,243,0,0
,244,119,123,2,0,0,0,123,69,51,0,0,36,208,0,0
,241,161,80,0,0,0,0,89,61,39,0,0,0,241,0,0
,244,162,81,1,0,0,0,130,58,44,0,0,59,185,0,0
,182,173,9,0,0,0,0,77,49,39,0,0,182,0,0,0
,215,136,78,1,0,0,0,110,60,43,0,0,0,215,0,0
,240,161,78,1,0,0,0,105,60.5,42,0,0,0,240,0,0
,366,284,82,0,0,0,0,100,55,39,0,0,161,203,2,520
,364,355,9,0,0,0,0,74,46,34,0,0,334,0,30,0
,366,256,110,0,0,0,0,77,56,43,0,0,115,251,0,0
,366,274,91,1,0,0,0,105,56,42,0,0,91,275,0,0
,359,241,117,1,0,0,0,125,59,43,0,0,0,359,0,0
,366,158,205,3,0,0,0,140,63,52,0,0,33,333,0,0
,311,197,111,1,2,0,0,160,61,44,0,0,35,276,0,0
,365,252,113,0,0,0,0,87,59,42,0,0,97,266,2,0
,366,162,202,2,0,0,0,142,66,52,0,1,38,323,4,0
,364,267,97,0,0,0,0,87,58,41,0,0,63,301,0,0
,366,244,122,0,0,0,0,97,60,44,0,0,88,278,0,0
,366,229,137,0,0,0,0,100,59,46,0,0,59,307,0,0
,366,281,85,0,0,0,0,93,56,41,0,0,151,213,2,0
,366,365,1,0,0,0,0,67,27,14,0,0,0,0,366,0
,366,265,101,0,0,0,0,85,57,43,0,0,137,229,0,0
,363,210,151,2,0,0,0,146,62,47,0,0,88,275,0,0
,366,163,203,0,0,0,0,86,63,52,0,0,64,302,0,0
,366,273,93,0,0,0,0,96,57,42,0,0,102,264,0,0
,338,323,15,0,0,0,0,87,47,36.5,0,0,338,0,0,0
,358,345,13,0,0,0,0,74,44,31,0,0,358,0,0,0
,366,173,190,1,2,0,0,164,65,51,0,0,30,336,0,0
,366,166,197,3,0,0,0,112,64,52,0,0,53,312,1,0
,365,299,66,0,0,0,0,97,54,41,0,0,142,218,5,521
,365,359,6,0,0,0,0,61,44,33,0,0,355,0,10,0
,365,224,141,0,0,0,0,77,58,47,0,0,94,271,0,0
,364,308,56,0,0,0,0,84,52,39,0,0,115,249,0,0
,360,236,124,0,0,0,0,83,56,44,0,0,0,360,0,0
,365,135,230,0,0,0,0,94,63,53,0,0,40,325,0,0
,364,236,128,0,0,0,0,77,56,44,0,0,80,284,0,0
,365,232,133,0,0,0,0,84,58,45,0,0,88,277,0,0
,365,160,202,3,0,0,0,135,65,52,0,5,46,314,0,0
,363,278,85,0,0,0,0,81,55,42,0,0,89,274,0,0
,365,240,125,0,0,0,0,93,58,45,0,0,83,282,0,0
,365,257,107,1,0,0,0,101,57,42,0,0,131,234,0,0
,365,265,100,0,0,0,0,97,57,43,0,0,159,206,0,0
,340,340,0,0,0,0,0,46,28,16,0,0,0,0,340,0
